max_job,total_students,mean_votes,ratio
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",6,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,2,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",1,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",1,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,2,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,3,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,3,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",2,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,1,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,1,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידה,2,0.0,0.0
אשכול תפקידי רפואה_חובשת,2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,5,0.0,0.0
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,6,0.0,0.0
אשכול תפקידי שיטור_אופנוענית שוטרת,1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,5,0.0,0.0
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,4,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,1,0.0,0.0
