max_job,total_students,mean_votes,ratio
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,2,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,4,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,6,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",1,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,1,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",2,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,1,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידה,1,0.0,0.0
אשכול תפקידי רפואה_חובשת,2,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,1,0.0,0.0
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",6,0.0,0.0
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,6,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,2,0.0,0.0
