,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__colsample_bytree,param_classifier__lambda,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall
0,0.42783363660176593,0.003663324768308714,0.036427974700927734,0.0018143152275119688,0,0.75,0,0.01,2,50,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 50, 'classifier__subsample': 0.75}",0.7166205290961916,0.7055802439089124,0.6928108910112801,0.7050038880054613,0.00972878396063963,1595,0.77643400138217,0.771556937964403,0.7665457058925177,0.7715122150796968,0.004037003593837215,315,0.31804043545878696,0.2975912975912976,0.2786259541984733,0.2980858957495193,0.01609469485593501,339,0.49515738498789347,0.4781523096129838,0.47341115434500647,0.48224028298196125,0.00933660471808002,1429
1,0.5216453870137533,0.023328115789357975,0.036840359369913735,0.006446154965241561,0,0.75,0,0.01,2,50,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 50, 'classifier__subsample': 1}",0.7084504461510385,0.7032935665556441,0.6895572300932735,0.7004337475999853,0.007973804052257855,1643,0.7755701451278507,0.7732849490236737,0.7689649213754968,0.7726066718423404,0.0027388915222164006,242,0.31480031323414254,0.2992930086410055,0.28095975232198145,0.2983510247323765,0.013831398844067514,319,0.48668280871670705,0.4756554307116105,0.4708171206225681,0.4777184533502952,0.006639380567538911,1517
2,1.0642662048339844,0.005772004194740843,0.03043707211812337,0.0013674885569742307,0,0.75,0,0.01,2,100,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 100, 'classifier__subsample': 0.75}",0.7207109382395797,0.7099367617593932,0.7039728381500857,0.7115401793830195,0.006926721673263905,1461,0.7833448514167243,0.7708657335406947,0.7689649213754968,0.7743918354443052,0.00637812109081423,187,0.326580226904376,0.29666924864446165,0.2816358024691358,0.3016284260059911,0.01868056747944388,185,0.48789346246973364,0.4781523096129838,0.47341115434500647,0.4798189754759079,0.006028689380999395,1467
3,1.0002063115437825,0.042073796966931455,0.038039604822794594,0.005783589510980144,0,0.75,0,0.01,2,100,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 100, 'classifier__subsample': 1}",0.7199210366826624,0.7100248986800995,0.7009641779250626,0.7103033710959415,0.007741609809063639,1508,0.7845542501727713,0.77172973907033,0.7698289269051322,0.7753709720494112,0.0065397614400975,161,0.32788225674570726,0.29750778816199375,0.28238944918541503,0.30259316469770536,0.018917270342413216,163,0.4854721549636804,0.4769038701622971,0.4721141374837873,0.47816338753658827,0.0055256339461572795,1507
4,2.052200714747111,0.08460165171025538,0.053502559661865234,0.0062227524772608496,0,0.75,0,0.01,2,200,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 200, 'classifier__subsample': 0.75}",0.7282625191162276,0.7156687914675448,0.7123722893485335,0.718767866644102,0.006847289036788844,1117,0.781271596406358,0.7724209434940383,0.7667185069984448,0.7734703489662804,0.005987433602279454,212,0.3259493670886076,0.30335365853658536,0.28216704288939054,0.30382335617152784,0.01787714443961973,131,0.49878934624697335,0.4968789013732834,0.48638132295719844,0.49401652352581843,0.005454946727276869,1351
5,1.9747207959493,0.11136885253258665,0.03990419705708822,0.00283716382316157,0,0.75,0,0.01,2,200,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 200, 'classifier__subsample': 1}",0.7248248919390272,0.7149515522363993,0.7090826863763583,0.7162863768505949,0.006495669149894054,1304,0.775224602626123,0.7741489545533091,0.7684465180577156,0.7726066917457158,0.002974282942143061,241,0.31688511950655357,0.30326594090202175,0.2826585179526356,0.3009365261204036,0.014069700148458058,208,0.4975786924939467,0.4868913857677903,0.4798962386511025,0.4881221056376132,0.0072710979008015824,1389
6,1.1155729293823242,0.02131040831602594,0.03838300704956055,0.0097025360210943,0,0.75,0,0.01,4,50,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 50, 'classifier__subsample': 0.75}",0.7315016644659217,0.7210064585333316,0.7119144806657607,0.7214742012216714,0.008003271402878277,944,0.7664132688320664,0.7421807499567997,0.7601520649732159,0.7562486945873607,0.010270701632537653,746,0.3142655367231638,0.2811906269791007,0.277577505407354,0.29101122303653953,0.01650931031569758,657,0.5387409200968523,0.5543071161048689,0.4993514915693904,0.5307998425903705,0.023127555008316883,860
7,0.899580717086792,0.04772490698087134,0.04314446449279785,0.010667367394076142,0,0.75,0,0.01,4,50,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 50, 'classifier__subsample': 1}",0.7247277858943466,0.7208716240679895,0.7123664713901248,0.7193219604508204,0.005164082174846747,1085,0.7437802349689012,0.7418351477449455,0.7551408329013306,0.7469187385383925,0.005867876837039297,1119,0.29195693476884105,0.27915869980879543,0.27475592747559274,0.2819571873510764,0.0072957664604811154,1182,0.5581113801452785,0.5468164794007491,0.5110246433203631,0.5386508342887969,0.02007151408132882,723
8,1.8978265921274822,0.05572453382762803,0.03574236234029134,0.0035394728605178108,0,0.75,0,0.01,4,100,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.75}",0.7343988647864205,0.7235336345011976,0.7162454981930714,0.7247259991602298,0.007458886412783638,743,0.7657221838286109,0.7399343355797477,0.7546224295835493,0.753426316330636,0.01056176419960052,877,0.3098995695839311,0.28,0.27758738862234406,0.28916231940209175,0.014696492376143065,782,0.5230024213075061,0.5593008739076155,0.5252918287937743,0.5358650413362986,0.016597972424217823,776
9,1.7642250061035156,0.036249376950534706,0.03631854057312012,0.005236466625557325,0,0.75,0,0.01,4,100,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 1}",0.7334647680727037,0.7218357468327046,0.7140062306455918,0.7231022485170001,0.007994234988949684,870,0.7629578438147893,0.7425263521686539,0.756177639536893,0.7538872785067787,0.008496892685279095,850,0.307475317348378,0.2812698412698413,0.2743300423131171,0.2876917336437788,0.014273117868627503,892,0.5278450363196125,0.5530586766541823,0.5045395590142672,0.5284810906626873,0.019812952295312426,902
