max_job,total_students,mean_votes,ratio
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,35,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,18,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,24,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,14,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,47,0.0,0.0
"אשכול תפקידי לוגיסטיקה ואחזקה_מש""קית לוגיסטיקה",59,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,30,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_נהגת בטחון שוטף,29,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,18,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,53,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,35,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,32,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,63,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,10,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",8,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית תכנון כ""א",2,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",23,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,24,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,28,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",55,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,31,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידת לשכה (מזכירה),4,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,20,0.0,0.0
אשכול תפקידי רפואה_חובשת,13,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,18,0.0,0.0
