max_job,total_students,mean_votes,ratio
אשכול מקצועות תקשורת_המערך הטכני בחיל האו,8,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,4,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,4,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,5,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,11,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,8,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,5,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,4,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית תכנון כ""א",1,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",8,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,5,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,6,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידת לשכה (מזכירה),1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,11,0.0,0.0
אשכול תפקידי רפואה_חובשת,1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,10,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_נהגת בטחון שוטף,4,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,3,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,6,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,3,0.0,0.0
