max_job,total_students,mean_votes,ratio
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,36,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,15,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,34,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,64,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,9,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,54,0.0,0.0
"אשכול תפקידי לוגיסטיקה ואחזקה_מש""קית לוגיסטיקה",73,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,30,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_נהגת בטחון שוטף,39,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,19,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,78,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,28,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,19,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,78,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,13,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",10,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית תכנון כ""א",3,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",34,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,39,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,20,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",65,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,39,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידת לשכה (מזכירה),10,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת אסטרטגית במתק,1,0.0,0.0
אשכול תפקידי רפואה_חובשת,18,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,23,0.0,0.0
