,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__colsample_bytree,param_classifier__lambda,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__subsample,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall
0,0.3063203493754069,0.009013443998026824,0.01911640167236328,0.0012394982416688027,0,0.75,0,0.01,2,50,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 50, 'classifier__subsample': 0.75}",0.7310836399282297,0.7354973450871222,0.7624067730634487,0.7429959193596002,0.013843316785644653,1578,0.6457002457002456,0.7119685426394692,0.731629392971246,0.6964327271036536,0.03676026623908376,1637,0.5036075036075036,0.6536118363794604,0.674061433447099,0.610426924478021,0.07599271022666906,333,0.7185998627316403,0.49245901639344264,0.5266666666666666,0.5792418485972498,0.09952565133979123,1409
1,0.28781867027282715,0.01061147874213062,0.023762623469034832,0.004961062865876413,0,0.75,0,0.01,2,50,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 50, 'classifier__subsample': 1}",0.7311339401403836,0.7354808485410868,0.7613803036200857,0.7426650307671853,0.013352152925774618,1584,0.639066339066339,0.7119685426394692,0.731629392971246,0.6942214248923514,0.03981791789549209,1684,0.49717247879359094,0.6522864538395168,0.674061433447099,0.6078401220267357,0.07875714942493198,368,0.7240905971173645,0.49573770491803276,0.5266666666666666,0.5821649895673546,0.1011477754823495,1375
2,0.6148672898610433,0.03571059844143293,0.03411761919657389,0.007178096531800346,0,0.75,0,0.01,2,100,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 100, 'classifier__subsample': 0.75}",0.7360755748211059,0.7413194659243222,0.7674730764240302,0.7482893723898193,0.013732818934453911,1472,0.7073710073710073,0.7161464733349717,0.7355615630376013,0.7196930145811935,0.0117788036547633,107,0.6013719512195121,0.6642984014209592,0.6840277777777778,0.6498993768060831,0.03524670526826945,107,0.5415236787920384,0.4904918032786885,0.5253333333333333,0.5191162718013534,0.02129243950595029,1615
3,0.5471499760945638,0.014664054926027736,0.030436277389526367,0.002924003913684108,0,0.75,0,0.01,2,100,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 100, 'classifier__subsample': 1}",0.735335649507071,0.740135194349933,0.7661015959517322,0.7471908132695787,0.013514737237879442,1514,0.7054054054054054,0.7161464733349717,0.7355615630376013,0.7190378139259929,0.012479806317792672,123,0.5964125560538116,0.6642984014209592,0.6840277777777778,0.6482462450841829,0.037526528942693066,116,0.547700754975978,0.4904918032786885,0.5253333333333333,0.5211752971959999,0.023539795906297754,1601
4,1.19814133644104,0.04838911120149958,0.023939053217569988,0.0026729244485074423,0,0.75,0,0.01,2,200,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 200, 'classifier__subsample': 0.75}",0.739078484353482,0.7445076812042477,0.7709080057090956,0.7514980570889417,0.013902724521686366,1261,0.7108108108108108,0.7144261489309413,0.7286802654214795,0.7179724083877438,0.007714113434560854,149,0.6088646967340591,0.6555269922879178,0.6488721804511278,0.6377546231577016,0.020608129734296238,139,0.5374056280027454,0.5016393442622951,0.5753333333333334,0.5381261018661246,0.030089758149481557,1564
5,1.123100757598877,0.07022266910925459,0.0239102045694987,0.002990368208930918,0,0.75,0,0.01,2,200,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 2, 'classifier__n_estimators': 200, 'classifier__subsample': 1}",0.7386009606683861,0.7449740952675533,0.7696063319060594,0.7510604626139997,0.013369521607083303,1324,0.7095823095823096,0.7141803883017941,0.7276972229048906,0.7171533069296648,0.007688355049341861,174,0.6063418406805878,0.6571180555555556,0.6467065868263473,0.6367221610208302,0.02189859307895723,158,0.5380919698009609,0.4963934426229508,0.576,0.5368284708079706,0.032511519154860787,1583
6,0.5785859425862631,0.03293794710520195,0.026764074961344402,0.004221514122372039,0,0.75,0,0.01,4,50,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 50, 'classifier__subsample': 0.75}",0.7445082806231762,0.7478736209918548,0.7728455949137147,0.7550758321762485,0.012640008696163803,1014,0.6734643734643735,0.6994347505529614,0.7220447284345048,0.6983146174839465,0.019848656475526954,1593,0.5364464692482915,0.6052998605299861,0.6171428571428571,0.5862963956403782,0.03557925906260055,1639,0.6465339739190117,0.5691803278688524,0.648,0.6212381005959547,0.03681526933304993,354
7,0.5355905691782633,0.032773397204922346,0.019721031188964844,0.0016791549201353754,0,0.75,0,0.01,4,50,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 50, 'classifier__subsample': 1}",0.7434778486008268,0.7456012217754409,0.7718178279486182,0.7536322994416286,0.012888296078705565,1111,0.6904176904176904,0.6994347505529614,0.7213074465470631,0.7037199625059051,0.012969619360754005,1281,0.5606153846153846,0.6032831737346102,0.617157490396927,0.5936853495823072,0.024060217550923888,1298,0.6252573781743308,0.5783606557377049,0.6426666666666667,0.6154282335262341,0.027157255921562286,632
8,1.0762349764506023,0.007476143401408814,0.02087680498758952,0.0011336455594420326,0,0.75,0,0.01,4,100,0.75,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.75}",0.7458582437582427,0.7493791885761418,0.7731344232515894,0.7561239518619914,0.012113803855517455,883,0.6904176904176904,0.6952568198574588,0.7220447284345048,0.7025730795698847,0.013909544099023185,1411,0.5612943372744243,0.5990271021542738,0.6197274497079819,0.5933496297122266,0.02419066524048546,1328,0.6190803019903912,0.5652459016393443,0.6366666666666667,0.606997623432134,0.030383380985100232,1032
9,1.0156033833821614,0.01521664093246399,0.024561961491902668,0.0037771796883151985,0,0.75,0,0.01,4,100,1,"{'classifier__alpha': 0, 'classifier__colsample_bytree': 0.75, 'classifier__lambda': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 1}",0.7452002697036963,0.748143751933189,0.7731324769689891,0.7554921662019582,0.01253133259412597,954,0.6918918918918919,0.6996805111821086,0.7217989678053576,0.7044571236264527,0.012668078445606142,1213,0.5624615384615385,0.604267033723331,0.6199478487614081,0.5955588069820925,0.024263056659674185,1152,0.6273164035689773,0.5757377049180328,0.634,0.61235136949567,0.026033157583691763,777
