max_job,total_students,mean_votes,ratio
אשכול תפקידי חינוך הוראה והדרכה_רכזת חינוך וידיעת הא,14,0.0,0.0
"מסלול ייעודי לקצונה_קצינת לוגיסטיקה (""חץ",1,0.0,0.0
מסלול ייעודי לקצונה_קצינת מנהלה בחיל האו,17,0.0,0.0
מסלול ייעודי לקצונה_קצינת פיקוד העורף,13,0.0,0.0
מסלול ייעודי לקצונה_קצינת שלישות בחיל מש,9,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,68,0.0,0.0
"אשכול אבחון כוח אדם_מראיינת גחל""ת",9,0.0,0.0
"אשכול דוברות וקישור_מש""קית דוברות",25,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,102,0.0,0.0
אשכול מקצועות תקשורת_אחראית תקשורת ימית מ,12,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",67,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,32,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידת לשכה (מזכירה),11,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,67,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה באגף טכנ,1,0.0,0.0
אשכול תפקידי רפואה_חובשת,22,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,81,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,44,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,48,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת אסטרטגית במתק,2,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,99,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית תכנון כ""א",2,0.0,0.0
אשכול תפקידי שיטור_אופנוענית שוטרת,20,0.0,0.0
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,126,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,30,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",13,0.0,0.0
אשכול מקצועות תקשורת_טכנאית דיגיטל מבצעית,1,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,58,0.0,0.0
אשכול מקצועות תקשורת_המערך הטכני בחיל האו,84,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,43,0.0,0.0
