max_job,total_students,mean_votes,ratio
אשכול מקצועות תקשורת_המערך הטכני בחיל האו,7,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,8,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,3,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",6,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,9,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,7,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,7,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,9,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,6,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,4,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,4,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,5,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,8,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידת לשכה (מזכירה),1,0.0,0.0
אשכול תפקידי רפואה_חובשת,2,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,4,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,4,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,3,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,3,0.0,0.0
