,Null Count,Null Ratio
seif_likuy_group_7,25673,0.990929442643199
seif_likuy_group_32,25660,0.9904276671298441
seif_likuy_group_83,25653,0.9901574803149606
seif_likuy_group_47,25650,0.9900416859657248
seif_likuy_group_36,25621,0.9889223405897792
seif_likuy_group_13,25619,0.9888451443569554
mpr_code_302,25609,0.9884591631928362
seif_likuy_group_5,25605,0.9883047707271885
mpr_code_307,25601,0.9881503782615408
mpr_code_124,25568,0.9868766404199475
seif_likuy_group_53,25566,0.9867994441871236
mpr_code_122,25521,0.9850625289485873
mpr_code_775,25458,0.9826308476146364
mpr_code_731,25455,0.9825150532654007
seif_likuy06,25453,0.9824378570325768
seif_likuy_group_4,25447,0.9822062683341053
mpr_code_741,25446,0.9821676702176934
seif_likuy_group_55,25433,0.9816658947043384
seif_likuy_group_90,25421,0.9812027173073954
mpr_code_816,25388,0.979928979465802
seif_likuy_group_84,25386,0.9798517832329783
mpr_code_766,25327,0.977574494364675
mpr_code_771,25320,0.9773043075497916
mpr_code_749,25288,0.9760691678246102
kahas,25278,0.9756831866604909
mpr_code_153,25265,0.975181411147136
mpr_code_110,25247,0.9744866450517214
seif_likuy_group_46,25233,0.9739462714219546
mpr_code_129,25131,0.9700092635479388
seif_likuy_group_9,25061,0.9673073953991045
seif_likuy_group_21,25042,0.966574031187278
seif_likuy_group_2,24808,0.957542071946889
mpr_code_940,24759,0.955650764242705
seif_likuy05,24747,0.9551875868457619
seif_likuy_group_59,24628,0.9505944109927436
seif_likuy_group_8,24515,0.9462328238381967
mpr_code_726,24447,0.9436081519221862
seif_likuy_group_41,24206,0.9343060058669137
mpr_code_303,24131,0.9314111471360198
mpr_code_889,24058,0.9285934846379497
dapar_hastzurani,24058,0.9285934846379497
mpr_code_814,24022,0.9272039524471206
seif_likuy_group_38,23819,0.919368534815501
mpr_code_765,23671,0.913656013586537
mpr_code_748,23671,0.913656013586537
mpr_code_735,23500,0.9070557356800988
mpr_code_803,23448,0.905048633626679
seif_likuy_group_48,23267,0.8980623745561217
seif_likuy_group_1,23042,0.8893777983634399
seif_likuy04,22971,0.8866373320981936
mpr_code_703,22603,0.8724332252586073
mpr_code_702,22302,0.8608151922186197
mpr_code_744,21615,0.8342982862436313
seif_likuy_group_3,21119,0.8151536205033194
seif_likuy_group_27,20955,0.8088235294117647
mpr_code_704,19481,0.7519299058205959
seif_likuy03,19323,0.7458314034275128
seif_likuy_group_68,14199,0.5480546549328392
seif_likuy02,12817,0.4947120580515671
seif_likuy01,4868,0.18789563069322218
dapar_horaot,1848,0.07132931912922649
dapar_amilulit,1848,0.07132931912922649
dapar_haskamuti,1848,0.07132931912922649
mpr_code_706,228,0.008800370541917554
mpr_code_727,226,0.008723174309093716
mpr_code_723,225,0.008684576192681797
mpr_code_725,224,0.008645978076269878
mpr_code_710,199,0.0076810251659719005
mpr_code_701,177,0.00683186660490968
mpr_code_301,150,0.005789717461787865
city_sotzio,22,0.0008491585610622202
napa_code,22,0.0008491585610622202
city_code,22,0.0008491585610622202
yeshuv_code,22,0.0008491585610622202
seif_likuy_group_,13,0.0005017755133549483
sotzio,10,0.000385981164119191
mea_madad_pikud,4,0.0001543924656476764
mea_madad_avodat_zevet,4,0.0001543924656476764
mea_svivat_adraha,4,0.0001543924656476764
mea_svivat_sade,4,0.0001543924656476764
mea_svivat_tipul,4,0.0001543924656476764
mea_svivat_afaala,4,0.0001543924656476764
mea_svivat_irgun,4,0.0001543924656476764
mea_bagrut,4,0.0001543924656476764
mea_svivat_ibud,4,0.0001543924656476764
mea_madad_keshev_mitmasheh,4,0.0001543924656476764
mea_misgeret,4,0.0001543924656476764
mea_svivat_ahzaka,4,0.0001543924656476764
mea_madad_hashkaa,4,0.0001543924656476764
mea_madad_keshev_selectivi,4,0.0001543924656476764
dapar,1,3.85981164119191e-05
profil,0,0.0
dapar_atzuranit,0,0.0
heb_dibur,0,0.0
shnol,0,0.0
yehidot_physics,0,0.0
mprofesscode01,0,0.0
mprofesscode18,0,0.0
units13,0,0.0
mprofesscode14,0,0.0
units14,0,0.0
mprofesscode15,0,0.0
units15,0,0.0
mprofesscode16,0,0.0
units16,0,0.0
mprofesscode17,0,0.0
units17,0,0.0
units18,0,0.0
units12,0,0.0
mprofesscode19,0,0.0
units19,0,0.0
mprofesscode20,0,0.0
units20,0,0.0
mprofesscode21,0,0.0
units21,0,0.0
mprofesscode22,0,0.0
units22,0,0.0
mprofesscode23,0,0.0
mprofesscode13,0,0.0
mprofesscode12,0,0.0
weight,0,0.0
mprofesscode06,0,0.0
units01,0,0.0
mprofesscode02,0,0.0
units02,0,0.0
mprofesscode03,0,0.0
units03,0,0.0
mprofesscode04,0,0.0
units04,0,0.0
mprofesscode05,0,0.0
units05,0,0.0
units06,0,0.0
units11,0,0.0
mprofesscode07,0,0.0
units07,0,0.0
mprofesscode08,0,0.0
units08,0,0.0
mprofesscode09,0,0.0
units09,0,0.0
mprofesscode10,0,0.0
units10,0,0.0
mprofesscode11,0,0.0
units23,0,0.0
mprofesscode24,0,0.0
units24,0,0.0
units41,0,0.0
mprofesscode37,0,0.0
units37,0,0.0
mprofesscode38,0,0.0
units38,0,0.0
mprofesscode39,0,0.0
units39,0,0.0
mprofesscode40,0,0.0
units40,0,0.0
mprofesscode41,0,0.0
target,0,0.0
mprofesscode25,0,0.0
t_leida,0,0.0
manila_answer_date,0,0.0
mpr_code_0,0,0.0
yehidot_chemistry,0,0.0
yehidot_english,0,0.0
yehidot_math,0,0.0
yehidot_computers,0,0.0
bmi,0,0.0
height,0,0.0
units36,0,0.0
mprofesscode36,0,0.0
units35,0,0.0
