max_job,total_students,mean_votes,ratio
"אשכול תפקידי לוגיסטיקה ואחזקה_מש""קית לוגיסטיקה",1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,2,0.0,0.0
אשכול דוברות וקישור_נציגת שירות,1,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",1,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,2,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידה,2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,1,0.0,0.0
אשכול תפקידי רפואה_חובשת,1,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,2,0.0,0.0
"אשכול מקצועות טכניים טכנולוגיים_מיזמי אלקטרוניקה (ח""",2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,1,0.0,0.0
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,1,0.0,0.0
אשכול תפקידי שיטור_אופנוענית שוטרת,1,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",1,0.0,0.0
אשכול מקצועות תקשורת_אחראית תקשורת ימית מ,1,0.0,0.0
